id,x,y,z
0,0.6232837438583374,0.8354206681251526,-3.610377063978376e-07
id,x,y,z
1,0.6545960903167725,0.7975704073905945,-0.030052581802010536
id,x,y,z
2,0.6765570640563965,0.7199572920799255,-0.04651442542672157
id,x,y,z
3,0.6905877590179443,0.6585427522659302,-0.059297461062669754
id,x,y,z
4,0.7074189782142639,0.6112391352653503,-0.07022440433502197
id,x,y,z
5,0.6284534335136414,0.6367915272712708,-0.03968261554837227
id,x,y,z
6,0.6300904750823975,0.6638705730438232,-0.07240002602338791
id,x,y,z
7,0.640265166759491,0.7250856757164001,-0.09102773666381836
id,x,y,z
8,0.6482669115066528,0.7592669725418091,-0.09963512420654297
id,x,y,z
9,0.5966041684150696,0.656175434589386,-0.03547801822423935
id,x,y,z
10,0.605726957321167,0.6964036226272583,-0.06808634102344513
id,x,y,z
11,0.6210272908210754,0.7629303932189941,-0.07565881311893463
id,x,y,z
12,0.6307826042175293,0.7992483377456665,-0.07574653625488281
id,x,y,z
13,0.5727506875991821,0.6870316863059998,-0.03514997661113739
id,x,y,z
14,0.5818289518356323,0.7296493649482727,-0.06720862537622452
id,x,y,z
15,0.5989131927490234,0.7882348299026489,-0.06541552394628525
id,x,y,z
16,0.6098323464393616,0.8182054758071899,-0.057766661047935486
id,x,y,z
17,0.5552332401275635,0.7219293117523193,-0.037166111171245575
id,x,y,z
18,0.562739372253418,0.7543148994445801,-0.06014912575483322
id,x,y,z
19,0.5781686902046204,0.804678201675415,-0.059593722224235535
id,x,y,z
20,0.5890447497367859,0.8298219442367554,-0.05381861701607704
id,x,y,z
0,0.629469096660614,0.7385204434394836,3.2217076295637526e-07
id,x,y,z
1,0.6586209535598755,0.6845835447311401,-0.02038883976638317
id,x,y,z
2,0.6909396052360535,0.6341121792793274,-0.0419580452144146
id,x,y,z
3,0.714900016784668,0.5838145017623901,-0.05963285267353058
id,x,y,z
4,0.7384164333343506,0.5439955592155457,-0.07903841137886047
id,x,y,z
5,0.6885432004928589,0.7061035633087158,-0.07759720832109451
id,x,y,z
6,0.6865236759185791,0.6549689769744873,-0.10742086172103882
id,x,y,z
7,0.6750344038009644,0.597332775592804,-0.12414393573999405
id,x,y,z
8,0.6625834107398987,0.550800621509552,-0.13501159846782684
id,x,y,z
9,0.654954195022583,0.7373620271682739,-0.07864286005496979
id,x,y,z
10,0.6512557864189148,0.678053617477417,-0.1057833731174469
id,x,y,z
11,0.6396502256393433,0.6084657907485962,-0.11370875686407089
id,x,y,z
12,0.6287578344345093,0.5606850385665894,-0.12220119684934616
id,x,y,z
13,0.6201024651527405,0.7555316090583801,-0.07857093214988708
id,x,y,z
14,0.6150910258293152,0.6997422575950623,-0.1008462980389595
id,x,y,z
15,0.6075358986854553,0.6307127475738525,-0.10483026504516602
id,x,y,z
16,0.6029767990112305,0.580308198928833,-0.10885443538427353
id,x,y,z
17,0.5864664912223816,0.7650916576385498,-0.07954847812652588
id,x,y,z
18,0.5811638236045837,0.7125539183616638,-0.09784089773893356
id,x,y,z
19,0.5764085650444031,0.6612576842308044,-0.10415671765804291
id,x,y,z
20,0.5748394131660461,0.6187511682510376,-0.10999441146850586
id,x,y,z
0,0.6204817295074463,0.6898464560508728,-3.2368851066166826e-07
id,x,y,z
1,0.6578537821769714,0.617547869682312,-0.025445610284805298
id,x,y,z
2,0.696144163608551,0.5727874636650085,-0.0384417288005352
id,x,y,z
3,0.7283194065093994,0.5480251312255859,-0.04944203794002533
id,x,y,z
4,0.762706995010376,0.5216737389564514,-0.0603208914399147
id,x,y,z
